method,spp,T,logRMR,logM,ram,therm
T0,Thunnus thynnus,20.5,4.80248285,2.397940009,yes,endo
T0,Cetorhinus maximus,12.20714286,4.990606587,3.317784216,yes,endo
T0,Coryphaena hippurus,25.55,3.005021854,0.801029996,yes,ecto
T0,Sphyrna lewini,26,4.007443674,1.793403747,yes,ecto
T0,Thunnus orientalis,27,4.346715759,1.70058011,yes,endo
T0,Hexanchus griseus,10,3.883813408,2.376543135,yes,ecto
T0,Xiphias gladius,13,3.904852729,2.054247404,yes,endo
T0,Rhincodon typus,25.83333333,4.342919035,3.094433743,yes,ecto
T0,Carcharodon carcharius,19,4.948388696,2.974511693,yes,endo
T0,Thunnus albacares,26,3.244681279,0.255972316,yes,endo
DO,Abudefduf vaigiensis,29,-0.24773199,-3.320572103,no,ecto
DO,Ambassis sp,29,-0.76159542,-3.449771647,no,ecto
DO,Ambassis sp.,28,-0.898645775,-3.575118363,no,ecto
DO,Amblyeleotris sp.,29,-1.339948062,-4.234331445,no,ecto
DO,Amblygobius sp.,30,-1.686735548,-4.322393047,no,ecto
DO,Ammodytes sp.,7.3,-2.731154688,-5.385102784,no,ecto
DO,Anoplogaster cornuta,7,-0.100179498,-1.76025019,no,ecto
DO,Anoplogaster cornuta,5,-0.12082217,-1.395417583,no,ecto
DO,Anoplogaster cornuta,5,0.241973166,-1.293282218,no,ecto
DO,Apogon sp.,30,-1.936613021,-5.124938737,no,ecto
DO,Argyropelecus aculeatus,20,-0.22184875,-2.583525921,no,ecto
DO,"Ariosoma balearicum, leptocephalus larvae",25,-0.7844002,-3.142064735,no,ecto
DO,Aristostomias scintillans,5,-0.520815585,-1.675717545,no,ecto
DO,Bajacalifornia burragei,5,-0.748188027,-1.603800653,no,ecto
DO,Bathylagus antarcticus,0.5,-0.572792196,-1.982966661,no,ecto
DO,Bathylagus milleri,5,-0.189959605,-1.386158178,no,ecto
DO,Bathylagus ochotensis,10,-0.388732007,-2.468521083,no,ecto
DO,Bathylagus wesethi,10,-0.689762003,-2.823908741,no,ecto
DO,Borostomias panamensis,5,0.427671547,-0.957621402,no,ecto
DO,Brevoortia tyrannus,20,1.47957531,-0.519993057,no,ecto
DO,Callionymus sp,16,-2.269910195,-5.062983893,no,ecto
DO,Caracanthus sp.,28,-2.019023237,-5.200659451,no,ecto
DO,Caracanthus sp.,28,-1.485262558,-4.54668166,no,ecto
DO,Caulophrynidae sp.,5,-0.871970186,-1.55129368,no,ecto
DO,Chiasmodon niger,5,0.43067386,-1.11577123,no,ecto
DO,Cubiceps whiteleggii,27,0.032848912,-2.920818754,no,ecto
DO,Cyclothone acclinidens,3,-1.657577319,-3.638272164,no,ecto
DO,Cyclothone acclinidens,3,-1.420216403,-3.280668713,no,ecto
DO,Cyclothone acclinidens,3,-1.287590838,-3.057991947,no,ecto
DO,Cyclothone microdon,0.5,-1.73788807,-3.096910013,no,ecto
DO,Cypselurus sp,26.4,-0.782140206,-3.876148359,no,ecto
DO,Diaphus mollis,20,-1.154016548,-3.774690718,no,ecto
DO,Diaphus theta,10,-0.204616603,-2.677780705,no,ecto
DO,Electrona antarctica,0.5,-0.559090918,-2.337242168,no,ecto
DO,Engraulis capensis,16,0.061775495,-1.982966661,no,ecto
DO,Engraulis ringens,15,0.421838871,-2.129362037,no,ecto
DO,Engraulis ringens,15,0.742725131,-1.899629455,no,ecto
DO,Galeoides sp.,26.4,-0.550631814,-3.717377887,no,ecto
DO,Gerres sp.,29,-1.116744258,-4.126679398,no,ecto
DO,Gonostoma elongatum,14,-0.246307533,-1.991740585,no,ecto
DO,Gymnoscopelus brauer,0.5,-0.343764861,-1.913640169,no,ecto
DO,Gymnoscopelus opisthopterus,0.5,-0.21937413,-1.716698771,no,ecto
DO,"Gymnothorax saxicola, leptocephalus larvae",25,-1.012589127,-3.397940009,no,ecto
DO,Herklotsichthys sp,27,-0.592002454,-3.886056648,no,ecto
DO,Hexagrammos otakii,14.1,-2.345410957,-5.089909454,no,ecto
DO,Hypoatherina sp,26,-0.54515514,-3.739928612,no,ecto
DO,Hypoatherina sp.,29,-0.444387403,-3.647817482,no,ecto
DO,Lampanyctus nobilis,7,-0.646991041,-2.435333936,no,ecto
DO,Lampanyctus regalis,5,-1.341307357,-2.537602002,no,ecto
DO,Lampanyctus ritteri,10,-0.751676355,-2.677780705,no,ecto
DO,Leiognathus sp.,29,-0.7844002,-3.835647144,no,ecto
DO,Lepidophanes guentheri,20,-0.373953075,-2.888737486,no,ecto
DO,Lethrinus sp.,30,-0.911104876,-3.910094889,no,ecto
DO,Lethrinus sp.,29,-0.904083796,-3.823908741,no,ecto
DO,Lutjanus carponotatus,29,-0.555063429,-3.534617149,no,ecto
DO,Melamphaes acanthomus,5,-0.524951754,-1.759450752,no,ecto
DO,Melanocetus johnsonii,5,-0.291215013,-1.520525466,no,ecto
DO,Melanonus zugmayeri,5,-0.11593325,-1.501689446,no,ecto
DO,Monacanthidae sp,30,-0.58264695,-3.543633967,no,ecto
DO,Monacanthidae sp.,29,-0.698970004,-3.661543506,no,ecto
