spp;original name;sp_all;notes
Abudefduf_vaigiensis;Abudefduf vaigiensis;Abudefduf vaigiensis;
Alepidomus_evermanni;Hypoatherina sp.;Hypoatherina sp.;close genus
Alepidomus_evermanni;Hypoatherina sp.;Hypoatherina_sp.2;close genus
Ambassis_agassizii;Ambassis sp.;Ambassis sp.;
Ambassis_agassizii;Ambassis sp.;Ambassis_sp.2;
Amblyeleotris_aurora;Amblyeleotris sp.;Amblyeleotris sp.;
Amblygobius_albimaculatus;Amblygobius sp.;Amblygobius sp.;
Ammodytes_tobianus;Ammodytes sp.;Ammodytes sp.;
Anoplogaster_cornuta;Anoplogaster cornuta;Anoplogaster cornuta;
Anoplogaster_cornuta;Anoplogaster cornuta;Anoplogaster cornuta2;
Anoplogaster_cornuta;Anoplogaster cornuta;Anoplogaster cornuta3;
Apogon_aurolineatus;Apogon sp.;Apogon sp.;
Argyropelecus_aculeatus;Argyropelecus aculeatus;Argyropelecus aculeatus;
Ariosoma_balearicum;Ariosoma balearicum, leptocephalus larvae;Ariosoma balearicum, leptocephalus larvae;
Aristostomias_scintillans;Aristostomias scintillans;Aristostomias scintillans;
Bajacalifornia_burragei;Bajacalifornia burragei;Bajacalifornia burragei;
Bathylagus_antarcticus;Bathylagus antarcticus;Bathylagus antarcticus;
Bathylagus_euryops;Bathylagus ochotensis;Bathylagus milleri;
Bathylagus_pacificus;Bathylagus milleri;Bathylagus ochotensis;
Bathylagus_tenuis;Bathylagus wesethi;Bathylagus wesethi;
Belone_belone;Scomberesocidae;Scomberesocidae;taxa from family Belonidae
Borostomias_panamensis;Borostomias panamensis;Borostomias panamensis;
Brevoortia_tyrannus;Brevoortia tyrannus;Brevoortia tyrannus;
Callionymus_curvicornis;Callionymus sp;Callionymus sp;
Caracanthus_maculatus;Caracanthus sp.;Caracanthus sp.;
Caracanthus_maculatus;Caracanthus sp.;Caracanthus sp.2;
Carcharhinus_acronotus;Carcharhinus acronotus;Carcharhinus_acronotus;
Carcharhinus_acronotus;Carcharhinus acronotus;Carcharhinus_acronotus2;
Carcharhinus_acronotus;Carcharhinus acronotus;Carcharhinus_acronotus3;
Carcharhinus_acronotus;Carcharhinus acronotus;Carcharhinus_acronotus4;
Carcharhinus_acronotus;Carcharhinus acronotus;Carcharhinus_acronotus5;
Carcharhinus_acronotus;Carcharhinus acronotus;Carcharhinus_acronotus6;
Carcharhinus_acronotus;Carcharhinus acronotus;Carcharhinus_acronotus7;
Carcharhinus_acronotus;Carcharhinus acronotus;Carcharhinus_acronotus8;
Carcharhinus_acronotus;Carcharhinus acronotus;Carcharhinus_acronotus9;
Carcharhinus_acronotus;Carcharhinus acronotus;Carcharhinus_acronotus10;
Carcharhinus_plumbeus;Carcharhinus plumbeus;Carcharhinus_plumbeus;
Carcharhinus_plumbeus;Carcharhinus plumbeus;Carcharhinus_plumbeus2;
Carcharhinus_plumbeus;Carcharhinus plumbeus;Carcharhinus_plumbeus3;
Carcharhinus_plumbeus;Carcharhinus plumbeus;Carcharhinus_plumbeus4;
Carcharhinus_plumbeus;Carcharhinus plumbeus;Carcharhinus_plumbeus5;
Carcharhinus_plumbeus;Carcharhinus plumbeus;Carcharhinus_plumbeus6;
Carcharhinus_plumbeus;Carcharhinus plumbeus;Carcharhinus_plumbeus7;
Carcharhinus_plumbeus;Carcharhinus plumbeus;Carcharhinus_plumbeus8;
Carcharhinus_plumbeus;Carcharhinus plumbeus;Carcharhinus_plumbeus9;
Carcharhinus_plumbeus;Carcharhinus plumbeus;Carcharhinus_plumbeus10;
Carcharhinus_plumbeus;Carcharhinus plumbeus;Carcharhinus_plumbeus11;
Carcharhinus_plumbeus;Carcharhinus plumbeus;Carcharhinus_plumbeus12;
Carcharhinus_plumbeus;Carcharhinus plumbeus;Carcharhinus_plumbeus13;
Carcharhinus_plumbeus;Carcharhinus plumbeus;Carcharhinus_plumbeus14;
Carcharhinus_plumbeus;Carcharhinus plumbeus;Carcharhinus_plumbeus15;
Carcharhinus_plumbeus;Carcharhinus plumbeus;Carcharhinus_plumbeus16;
Carcharodon_carcharias;Carcharodon carcharius;Carcharodon_carcharias;
Carcharodon_carcharias;Carcharodon carcharius;Carcharodon_carcharias2;
Carcharodon_carcharias;Carcharodon carcharius;Carcharodon_carcharias3;
Carcharodon_carcharias;Carcharodon carcharius;Carcharodon_carcharias4;
Carcharodon_carcharias;Carcharodon carcharius;Carcharodon_carcharias5;
Carcharodon_carcharias;Carcharodon carcharius;Carcharodon_carcharias6;
Cetorhinus_maximus;Cetorhinus maximus;Cetorhinus_maximus;
Chiasmodon_niger;Chiasmodon niger;Chiasmodon niger;
Coryphaena_hippurus;Coryphaena hippurus;Coryphaena hippurus;
Coryphaena_hippurus;Coryphaena hippurus;Coryphaena hippurus2;
Cubiceps_whiteleggii;Cubiceps whiteleggii;Cubiceps whiteleggii;
Cyclothone_acclinidens;Cyclothone acclinidens;Cyclothone acclinidens;
Cyclothone_acclinidens;Cyclothone acclinidens;Cyclothone acclinidens2;
Cyclothone_acclinidens;Cyclothone acclinidens;Cyclothone acclinidens3;
Cyclothone_microdon;Cyclothone microdon;Cyclothone microdon;
Cypselurus_angusticeps;Cypselurus sp;Cypselurus sp;
Diaphus_mollis;Diaphus mollis;Diaphus mollis;
Diaphus_theta;Diaphus theta;Diaphus theta;
Electrona_antarctica;Electrona antarctica;Electrona antarctica;
Eleutheronema_tetradactylum;Galeoides sp.;Galeoides sp.;close genus
Engraulis_encrasicolus;Engraulis capensis;Engraulis capensis;
Engraulis_ringens;Engraulis ringens;Engraulis ringens;
Engraulis_ringens;Engraulis ringens;Engraulis ringens2;
Euthynnus_affinis;Euthynnus affinis;Euthynnus affinis;
Gerres_cinereus;Gerres sp.;Gerres sp.;
Gonostoma_elongatum;Gonostoma elongatum;Gonostoma elongatum;
Gymnoscopelus_bolini;Gymnoscopelus brauer;Gymnoscopelus brauer;
Gymnoscopelus_opisthopterus;Gymnoscopelus opisthopterus;Gymnoscopelus opisthopterus;
Gymnothorax_saxicola;Gymnothorax saxicola, leptocephalus larvae;Gymnothorax saxicola, leptocephalus larvae;
Herklotsichthys_quadrimaculatus;Herklotsichthys sp;Herklotsichthys sp;
Hexagrammos_otakii;Hexagrammos otakii;Hexagrammos otakii;
Hexanchus_griseus;Hexanchus griseus;Hexanchus_griseus;
Isurus_oxyrinchus;Isurus oxyrinchus;Isurus_oxyrinchus;
Isurus_oxyrinchus;Isurus oxyrinchus;Isurus_oxyrinchus2;
Isurus_oxyrinchus;Isurus oxyrinchus;Isurus_oxyrinchus3;
