species,M,K
fish,-3.522878745,0.656098202
fish,-3.301029996,1.131105162
fish,-3.301029996,1.025879083
fish,-3.301029996,0.792671789
fish,-2.958607315,1.351255034
fish,-2.48148606,0.758609143
fish,-2.48148606,0.88570038
fish,-2.468521083,0.862012051
fish,-2.366531544,0.261024834
fish,-2.301029996,0.158362492
fish,-2.27572413,0.246498581
fish,-2.22184875,0.772468403
fish,-2.008773924,0.170848204
fish,-1.920818754,0.315970345
fish,-1.785156152,0.433289685
fish,-1.754487332,0.079181246
fish,-1.524328812,0.021189299
fish,-1.503070352,0.012837225
fish,-1.477555766,-0.131943638
fish,-1.407823243,-0.458420756
fish,-1.399027104,-0.465973894
fish,-1.116906641,-0.53165267
fish,-1.070581074,-0.200659451
fish,-1.013676223,-0.588380294
fish,-0.982966661,-0.690369833
fish,-0.844663963,-0.568636236
fish,-0.787812396,-0.860120914
fish,-0.782516056,-0.665546249
fish,-0.772113295,-0.358525889
fish,-0.769551079,-0.790484985
fish,-0.764471553,-0.395773947
fish,-0.735182177,-0.759450752
fish,-0.68613278,-0.677780705
fish,-0.510041521,-1.045757491
fish,-0.49757288,-0.795880017
fish,-0.288192771,-0.785421046
fish,-0.246416941,-0.619788758
fish,-0.210419288,-1.045757491
fish,-0.167491087,-0.853871964
fish,-0.075204004,-0.955852379
fish,-0.058488567,-1.180456064
fish,-0.040958608,-1.318758763
fish,0.093071306,-0.999565923
fish,0.113943352,-0.730487056
fish,0.209515015,-1.031050319
fish,0.21031852,-1.078313525
fish,0.248463718,-1.13430394
fish,0.261024834,-1.269217724
fish,0.379323651,-1.045757491
fish,0.432969291,-1.252588192
fish,0.447158031,-1.051587034
fish,0.491361694,-0.920818754
fish,0.546666025,-1.397940009
fish,0.556362815,-1.397940009
fish,0.568201724,-1.37675071
fish,0.579783597,-1.619788758
fish,0.591064607,-1.017728767
fish,0.602059991,-1.180440272
fish,0.602059991,-1.51203626
fish,0.602059991,-1.448984514
fish,0.602059991,-1.370455852
fish,0.602059991,-1.501606731
fish,0.62324929,-1.409135883
fish,0.643452676,-1.252927058
fish,0.643452676,-1.399719915
fish,0.643452676,-1.441229049
fish,0.698100546,-1.318758763
fish,0.716003344,-1.518110407
fish,0.73239376,-1.584038921
fish,0.73239376,-1.327976071
fish,0.785329835,-1.467638064
fish,0.837588438,-1.301029996
fish,0.84509804,-1.558128983
fish,0.86332286,-1.504178247
fish,0.919078092,-1.551472999
fish,0.924279286,-1.494307493
fish,1.027757205,-1.292429824
fish,1.03702788,-1.48148606
fish,1.06069784,-1.971428747
fish,1.096910013,-1.460883737
fish,1.120573931,-1.688127519
fish,1.134177108,-1.337242168
fish,1.439332694,-1.778304149
fish,1.505149978,-2.180456064
fish,1.785329835,-2.205511953
fish,1.785329835,-2.158515391
fish,1.812913357,-2.165248773
fish,1.832508913,-2.466278769
fish,1.959041392,-2.27572413
fish,1.995635195,-2.301029996
fish,2.012837225,-2.363512104
fish,2.037426498,-1.913640169
fish,2.037426498,-2.318758763
fish,2.037426498,-2.27572413
fish,2.068185862,-2.642065153
fish,2.103803721,-2.431798276
fish,2.133538908,-2.508638306
fish,2.146128036,-2.48148606
fish,2.204119983,-2.619788758
fish,2.397940009,-2.698970004
fish,2.397940009,-2.853871964
fish,2.556302501,-2.663540266
fish,2.903089987,-2.916855857
fish,3.176091259,-2.717604495
fish,3.204119983,-2.484656107
basker,3.363047595,-2.37675071
basker,3.046885191,-2.841637508
basker,3.538196578,-2.578396073
basker,2.921686475,-1.790484985
basker,3.538196578,-2.653647026
basker,3.453471234,-2.308034897
basker,3.363047595,-2.619788758
